"Self_employed","Org_size","Mental_ill","Is_tech","Benefits","Anonymity","Absence","Coworkers","Ment_phy","Age","Gender","US_state","Country","US_state_work"
"No","More than 1000","No","No","Yes","I don't know","Neither easy nor difficult","No","No",45,"Male","Ohio","United States of America","Ohio"
"No","6-25","Yes","Yes","No","No","Neither easy nor difficult","Yes","No",26,"Male","Oregon","United States of America","Oregon"
"No","26-100","No","Yes","Yes","Yes","Somewhat easy","Maybe","I don't know",23,"Male","Illinois","United States of America","Illinois"
"No","26-100","Yes","Yes","Yes","Yes","Somewhat difficult","No","No",22,"Female","Oregon","United States of America","Oregon"
"No","26-100","Yes","Yes","I don't know","I don't know","Somewhat easy","Maybe","I don't know",46,"Female","Illinois","United States of America","Illinois"
"No","6-25","No","Yes","No","Yes","Somewhat easy","Yes","Yes",31,"Male","","United Kingdom",""
"No","100-500","Yes","Yes","Yes","I don't know","Very easy","Yes","Yes",27,"Male","Virginia","United States of America","California"
"No","6-25","No","Yes","No","I don't know","Very easy","Yes","Yes",37,"Male","","United Kingdom",""
"No","100-500","No","Yes","I don't know","I don't know","Neither easy nor difficult","No","Yes",37,"Male","","United Kingdom",""
"No","1-5","Yes","Yes","Not eligible for coverage / N/A","I don't know","Very easy","Yes","Yes",26,"Others","","Netherlands",""
"No","500-1000","No","Yes","No","Yes","Very easy","Maybe","I don't know",23,"Male","","Netherlands",""
"No","26-100","Yes","Yes","Yes","Yes","Somewhat difficult","Maybe","Yes",40,"Male","Ohio","United States of America","Ohio"
"No","1-5","No","Yes","No","No","Somewhat easy","Maybe","No",29,"Male","","Denmark",""
"No","100-500","Yes","Yes","Yes","Yes","Somewhat easy","Yes","Yes",37,"Male","Oregon","United States of America","California"
"No","100-500","No","Yes","Yes","Yes","Somewhat difficult","Yes","Yes",34,"Female","California","United States of America","California"
"No","More than 1000","Yes","Yes","Yes","I don't know","Very easy","Yes","Yes",40,"Male","Iowa","United States of America","Iowa"
"No","500-1000","Yes","Yes","Yes","I don't know","Very easy","Maybe","I don't know",39,"Male","California","United States of America","California"
"No","500-1000","Yes","Yes","Yes","I don't know","Somewhat easy","Maybe","Yes",28,"Male","Washington","United States of America","Washington"
"Yes","","No",NA,"","","","","",28,"Male","","Belgium",""
"No","26-100","No","Yes","No","I don't know","Neither easy nor difficult","No","I don't know",27,"Male","","Germany",""
"Yes","","No",NA,"","","","","",48,"Male","","United Kingdom",""
"No","More than 1000","Yes","Yes","Yes","I don't know","Somewhat difficult","Yes","I don't know",49,"Female","Connecticut","United States of America","Connecticut"
"No","26-100","Yes","Yes","No","I don't know","Somewhat easy","Yes","No",35,"Male","","United Kingdom",""
"No","100-500","Yes","Yes","I don't know","I don't know","Somewhat easy","Maybe","I don't know",35,"Male","","Sweden",""
"Yes","","Yes",NA,"","","","","",38,"Male","","United Kingdom",""
"No","500-1000","Yes","Yes","Yes","Yes","Neither easy nor difficult","Yes","Yes",32,"Male","California","United States of America","California"
"No","More than 1000","Yes","Yes","Yes","I don't know","Somewhat difficult","No","No",42,"Male","Ohio","United States of America","Ohio"
"No","100-500","No","Yes","Yes","Yes","Somewhat difficult","Maybe","Yes",33,"Female","Texas","United States of America","Texas"
"No","26-100","No","Yes","I don't know","Yes","Very easy","Yes","I don't know",35,"Male","","United Kingdom",""
"No","500-1000","No","Yes","I don't know","Yes","Somewhat easy","Yes","Yes",24,"Male","","Russia",""
"No","500-1000","Yes","Yes","Yes","I don't know","Somewhat easy","Yes","No",29,"Female","California","United States of America","California"
"No","100-500","No","Yes","I don't know","I don't know","Somewhat difficult","Maybe","Yes",29,"Male","Minnesota","United States of America","Minnesota"
"No","6-25","No","Yes","Not eligible for coverage / N/A","No","Somewhat easy","Maybe","Yes",24,"Male","","United Kingdom",""
"No","500-1000","No","Yes","I don't know","I don't know","Somewhat easy","Yes","I don't know",30,"Male","","Sweden",""
"No","26-100","Yes","Yes","I don't know","I don't know","Somewhat difficult","No","I don't know",30,"Male","Colorado","United States of America","Colorado"
"No","6-25","Yes","Yes","No","I don't know","Somewhat difficult","No","I don't know",44,"Male","Indiana","United States of America","Indiana"
"No","100-500","No","Yes","Yes","I don't know","Somewhat easy","Maybe","No",37,"Male","","United Kingdom",""
"No","500-1000","No","Yes","No","I don't know","Neither easy nor difficult","Maybe","Yes",28,"Male","","Germany",""
"No","100-500","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","Yes",42,"Male","South Dakota","United States of America","South Dakota"
"No","1-5","Yes","Yes","Yes","I don't know","Somewhat easy","Yes","I don't know",30,"Female","","United Kingdom",""
"No","100-500","No","Yes","I don't know","I don't know","I don't know","No","No",36,"Male","","Russia",""
"No","500-1000","No","Yes","I don't know","I don't know","Neither easy nor difficult","No","Yes",30,"Male","","Russia",""
"No","6-25","No","Yes","I don't know","I don't know","Neither easy nor difficult","No","Yes",29,"Male","Nevada","United States of America","Nevada"
"No","500-1000","No","Yes","I don't know","I don't know","I don't know","Maybe","No",25,"Male","California","United States of America","California"
"No","26-100","No","Yes","No","I don't know","Somewhat easy","Maybe","Yes",25,"Male","","Belgium",""
"No","500-1000","No","Yes","I don't know","I don't know","Somewhat easy","Maybe","I don't know",24,"Male","","Russia",""
"No","More than 1000","No","Yes","No","No","Somewhat easy","No","No",25,"Male","","Russia",""
"No","26-100","Yes","Yes","Yes","Yes","Very easy","Yes","Yes",31,"Male","","Denmark",""
"No","26-100","No","Yes","Yes","I don't know","I don't know","Maybe","Yes",37,"Male","","Canada",""
"No","100-500","No","Yes","I don't know","I don't know","Somewhat easy","Maybe","No",35,"Male","California","United States of America","California"
"No","6-25","Yes","Yes","Not eligible for coverage / N/A","Yes","Somewhat easy","Yes","I don't know",26,"Female","","Spain",""
"No","100-500","No","Yes","Yes","Yes","Somewhat easy","Yes","Yes",31,"Male","","United Kingdom",""
"No","500-1000","No","Yes","Yes","I don't know","Somewhat easy","Maybe","Yes",29,"Female","California","United States of America","Hawaii"
"No","26-100","Yes","Yes","I don't know","I don't know","Somewhat easy","No","I don't know",33,"Male","","France",""
"No","26-100","No","Yes","No","No","Somewhat easy","Maybe","Yes",30,"Male","","India",""
"No","26-100","No","Yes","Yes","I don't know","Neither easy nor difficult","Yes","No",30,"Male","Florida","United States of America","Florida"
"No","100-500","Yes","Yes","Yes","I don't know","Somewhat difficult","No","I don't know",29,"Female","California","United States of America","California"
"No","26-100","Yes","Yes","I don't know","No","Somewhat difficult","No","No",25,"Female","California","United States of America","California"
"No","More than 1000","No","No","Yes","Yes","Very easy","Maybe","Yes",27,"Male","Nebraska","United States of America","Nebraska"
"No","500-1000","No","Yes","Yes","Yes","Very easy","No","Yes",26,"Male","","Germany",""
"No","500-1000","No","Yes","Yes","Yes","Very easy","Yes","Yes",38,"Female","Maine","United States of America","Maine"
"No","More than 1000","Yes","Yes","Yes","No","Very difficult","Maybe","No",49,"Male","Missouri","United States of America","Missouri"
"No","26-100","No","Yes","Yes","Yes","Very easy","Yes","Yes",30,"Male","Arizona","United States of America","Arizona"
"Yes","","No",NA,"","","","","",34,"Male","","France",""
"No","100-500","No","Yes","No","I don't know","Very easy","No","I don't know",31,"Male","","Russia",""
"Yes","","Yes",NA,"","","","","",29,"Male","California","United States of America","California"
"No","100-500","No","Yes","No","I don't know","Very easy","Maybe","I don't know",31,"Male","","Germany",""
"No","100-500","No","Yes","Not eligible for coverage / N/A","I don't know","Neither easy nor difficult","No","Yes",34,"Male","","Germany",""
"No","6-25","No","Yes","I don't know","I don't know","Somewhat easy","Yes","No",28,"Male","Oklahoma","United States of America","Oklahoma"
"Yes","","Yes",NA,"","","","","",35,"Female","","United Kingdom",""
"No","500-1000","No","Yes","I don't know","I don't know","Very easy","No","I don't know",27,"Male","","Germany",""
"Yes","","No",NA,"","","","","",33,"Male","","Germany",""
"No","6-25","Yes","Yes","I don't know","I don't know","Neither easy nor difficult","Maybe","I don't know",37,"Female","New York","United States of America","New York"
"No","More than 1000","Yes","Yes","Not eligible for coverage / N/A","Yes","Very easy","Maybe","Yes",45,"Male","","United Kingdom",""
"No","6-25","Yes","Yes","No","I don't know","Somewhat easy","Maybe","Yes",31,"Female","Oregon","United States of America","Wisconsin"
"No","More than 1000","No","No","No","I don't know","Somewhat difficult","No","No",36,"Male","Arizona","United States of America","Arizona"
"No","500-1000","Yes","Yes","Yes","I don't know","I don't know","Maybe","I don't know",30,"Male","California","United States of America","California"
"No","More than 1000","Yes","Yes","Yes","Yes","Very difficult","No","No",33,"Female","Washington","United Arab Emirates",""
"No","500-1000","Yes","Yes","Yes","I don't know","I don't know","No","I don't know",45,"Female","","Canada",""
"No","26-100","Yes","Yes","Yes","I don't know","Somewhat easy","Maybe","Yes",30,"Female","Michigan","United States of America","Michigan"
"No","26-100","Yes","Yes","Yes","Yes","Neither easy nor difficult","Maybe","No",30,"Male","Michigan","United States of America","Michigan"
"Yes","","Yes",NA,"","","","","",29,"Male","Illinois","United States of America","Illinois"
"No","1-5","No","No","No","No","Somewhat easy","Yes","No",36,"Male","","Mexico",""
"No","26-100","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","Yes",28,"Male","Michigan","United States of America","Michigan"
"No","26-100","Yes","Yes","Yes","I don't know","Somewhat easy","Maybe","Yes",36,"Male","Michigan","United States of America","Michigan"
"No","500-1000","Yes","Yes","Yes","I don't know","Neither easy nor difficult","Maybe","I don't know",37,"Female","California","United States of America","California"
"No","26-100","No","Yes","Yes","Yes","Very easy","Yes","Yes",29,"Male","Michigan","United States of America","Michigan"
